question,contexts,ground_truth,evolution_type,metadata,episode_done
"Here's a question that can be fully answered from the given context:

What is the Gryphon's response when he forgets the words of the song?","['“Oh, _you_ sing,” said the Gryphon. “I’ve forgotten the words.”\n\nSo they began solemnly dancing round and round Alice, every now and\nthen treading on her toes when they passed too close, and waving their\nforepaws to mark the time, while the Mock Turtle sang this, very slowly\nand sadly:—']","_you_ sing,” said the Gryphon. “I’ve forgotten the words.”",simple,[{'filename': 'alice-modified.txt'}],True
"Here's a question that can be fully answered from the given context:

What does the Mock Turtle ask Alice to do at the beginning of their conversation?

Answer: The Mock Turtle asks Alice to ""Explain all that"" (implying her adventures), but Alice is hesitant and suggests sharing her adventures first.","['“I could tell you my adventures—beginning from this morning,” said\nAlice a little timidly: “but it’s no use going back to yesterday,\nbecause I was a different person then.”\n\n“Explain all that,” said the Mock Turtle.\n\n“No, no! The adventures first,” said the Gryphon in an impatient tone:\n“explanations take such a dreadful time.”']","The Mock Turtle asks Alice to 'Explain all that' (implying her adventures), but Alice is hesitant and suggests sharing her adventures first.",simple,[{'filename': 'alice-modified.txt'}],True
"Here's the question that can be fully answered from the given context:

""What does Alice say is important to her?""

This question can be fully answered by referencing the quote ""It matters a good deal to _me_” said Alice hastily;”.","['“It matters a good deal to _me_,” said Alice hastily; “but I’m not\nlooking for eggs, as it happens; and if I was, I shouldn’t want\n_yours_: I don’t like them raw.”']",What is important to Alice is that it matters a good deal to me.,simple,[{'filename': 'alice-modified.txt'}],True
"Here's a question that can be fully answered from the given context:

What did Edwin and Morcar, the earls of Mercia and Northumbria, declare for?

Answer: They declared for him (referring to someone not specified in this passage).","['“Ugh!” said the Lory, with a shiver.\n\n“I beg your pardon!” said the Mouse, frowning, but very politely: “Did\nyou speak?”\n\n“Not I!” said the Lory hastily.\n\n“I thought you did,” said the Mouse. “—I proceed. ‘Edwin and Morcar,\nthe earls of Mercia and Northumbria, declared for him: and even\nStigand, the patriotic archbishop of Canterbury, found it advisable—’”\n\n“Found _what_?” said the Duck.\n\n“Found _it_,” the Mouse replied rather crossly: “of course you know\nwhat ‘it’ means.”']","Edwin and Morcar, the earls of Mercia and Northumbria, declared for him.",simple,[{'filename': 'alice-modified.txt'}],True
"Based on the given context, I would form a question that can be fully answered from the provided text using the keyphrase ""Circumstances"". Here's my attempt:

context: The great question certainly was, what? Alice looked all round her at
the flowers and the blades of grass, but she did not see anything that
looked like the right thing to eat or drink under the circumstances. There was a large mushroom growing near her, about the same height as
herself; and when she had looked under it, and on both sides of it, and
behind it, it occurred to her that she might as well look and see what
was on the top of it.
keyphrase: Circumstances
question: What did Alice not see anything like the right thing to eat or drink under?

This question can be fully answered from the provided context, which describes Alice's search for food or drink in a specific situation (the circumstances).","['The great question certainly was, what? Alice looked all round her at\nthe flowers and the blades of grass, but she did not see anything that\nlooked like the right thing to eat or drink under the circumstances.\nThere was a large mushroom growing near her, about the same height as\nherself; and when she had looked under it, and on both sides of it, and\nbehind it, it occurred to her that she might as well look and see what\nwas on the top of it.']",the right thing to eat or drink,simple,[{'filename': 'alice-modified.txt'}],True
"Here's a question that can be fully answered from the given context:

What advice does the Caterpillar give to Alice?","['“Why?” said the Caterpillar.\n\nHere was another puzzling question; and as Alice could not think of any\ngood reason, and as the Caterpillar seemed to be in a _very_ unpleasant\nstate of mind, she turned away.\n\n“Come back!” the Caterpillar called after her. “I’ve something\nimportant to say!”\n\nThis sounded promising, certainly: Alice turned and came back again.\n\n“Keep your temper,” said the Caterpillar.\n\n“Is that all?” said Alice, swallowing down her anger as well as she\ncould.\n\n“No,” said the Caterpillar.']",The Caterpillar advises Alice to 'Keep your temper'.,simple,[{'filename': 'alice-modified.txt'}],True
"Here's the question:

What does Alice say is allowed when it comes to looking at the King?

This question can be fully answered based on the given context, which features a conversation between Alice and the King. The key phrase ""Alice"" is used to form the question, which asks about Alice's statement regarding the King.","['“It’s a friend of mine—a Cheshire Cat,” said Alice: “allow me to\nintroduce it.”\n\n“I don’t like the look of it at all,” said the King: “however, it may\nkiss my hand if it likes.”\n\n“I’d rather not,” the Cat remarked.\n\n“Don’t be impertinent,” said the King, “and don’t look at me like\nthat!” He got behind Alice as he spoke.\n\n“A cat may look at a king,” said Alice. “I’ve read that in some book,\nbut I don’t remember where.”']",A cat may look at a king,simple,[{'filename': 'alice-modified.txt'}],True
"Based on the given context and keyphrase ""Meaning"", I would form a question that can be fully answered from the context as follows:

What does Alice believe is lacking in the King's statement?

This question can be fully answered by referencing the conversation between Alice and the King, where Alice explicitly states that she doesn't believe there's an atom of meaning in the King's evidence.","['“That’s the most important piece of evidence we’ve heard yet,” said the\nKing, rubbing his hands; “so now let the jury—”\n\n“If any one of them can explain it,” said Alice, (she had grown so\nlarge in the last few minutes that she wasn’t a bit afraid of\ninterrupting him,) “I’ll give him sixpence. _I_ don’t believe there’s\nan atom of meaning in it.”\n\nThe jury all wrote down on their slates, “_She_ doesn’t believe there’s\nan atom of meaning in it,” but none of them attempted to explain the\npaper.']",Alice believes that there is a lack of meaning in the King's statement.,simple,[{'filename': 'alice-modified.txt'}],True
"Here's a question that can be fully answered from the given context:

What does the narrator think about the creature's potential appearance if it had grown up?

This question is formed using the keyphrase ""Magical transformation"" and can be fully answered by referencing the context, where the narrator says ""If it had grown up, it would have made a dreadfully ugly child: but it makes rather a handsome pig, I think.","['So she set the little creature down, and felt quite relieved to see it\ntrot away quietly into the wood. “If it had grown up,” she said to\nherself, “it would have made a dreadfully ugly child: but it makes\nrather a handsome pig, I think.” And she began thinking over other\nchildren she knew, who might do very well as pigs, and was just saying\nto herself, “if one only knew the right way to change them—” when she\nwas a little startled by seeing the Cheshire Cat sitting on a bough of\na tree a few yards off.']","The narrator thinks that if the creature had grown up, it would have made a 'dreadfully ugly child'",simple,[{'filename': 'alice-modified.txt'}],True
"Here's a question that can be fully answered from the given context:

What kind of education did the Mock Turtle receive?","['“Yes, we went to school in the sea, though you mayn’t believe it—”\n\n“I never said I didn’t!” interrupted Alice.\n\n“You did,” said the Mock Turtle.\n\n“Hold your tongue!” added the Gryphon, before Alice could speak again.\nThe Mock Turtle went on.\n\n“We had the best of educations—in fact, we went to school every day—”\n\n“_I’ve_ been to a day-school, too,” said Alice; “you needn’t be so\nproud as all that.”\n\n“With extras?” asked the Mock Turtle a little anxiously.\n\n“Yes,” said Alice, “we learned French and music.”']",The Mock Turtle received an education in school every day.,simple,[{'filename': 'alice-modified.txt'}],True
"Based on the given context, I can generate a question that can be fully answered from the text. Here's my attempt:

keyphrase: ""Question""
question: ""What was Alice trying to figure out about the mushroom?","['“One side of _what?_ The other side of _what?_” thought Alice to\nherself.\n\n“Of the mushroom,” said the Caterpillar, just as if she had asked it\naloud; and in another moment it was out of sight.\n\nAlice remained looking thoughtfully at the mushroom for a minute,\ntrying to make out which were the two sides of it; and as it was\nperfectly round, she found this a very difficult question. However, at\nlast she stretched her arms round it as far as they would go, and broke\noff a bit of the edge with each hand.']",Alice was trying to figure out which were the two sides of the mushroom.,simple,[{'filename': 'alice-modified.txt'}],True
"Here's a question that can be fully answered from the given context:

What happens to Alice when she swallows one of the cakes?

This question is formed using the keyphrase ""Lizard Bill"" and can be fully answered by referencing the context provided.","['So she swallowed one of the cakes, and was delighted to find that she\nbegan shrinking directly. As soon as she was small enough to get\nthrough the door, she ran out of the house, and found quite a crowd of\nlittle animals and birds waiting outside. The poor little Lizard, Bill,\nwas in the middle, being held up by two guinea-pigs, who were giving it\nsomething out of a bottle. They all made a rush at Alice the moment she\nappeared; but she ran off as hard as she could, and soon found herself']",She began shrinking directly after swallowing one of the cakes.,simple,[{'filename': 'alice-modified.txt'}],True
"Here is a question that can be fully answered from the given context:

Keyphrase: ""King's cross-examination""
Question: ""What does the King ask during his cross-examination of the witness?","['The King looked anxiously at the White Rabbit, who said in a low voice,\n“Your Majesty must cross-examine _this_ witness.”\n\n“Well, if I must, I must,” the King said, with a melancholy air, and,\nafter folding his arms and frowning at the cook till his eyes were\nnearly out of sight, he said in a deep voice, “What are tarts made of?”\n\n“Pepper, mostly,” said the cook.\n\n“Treacle,” said a sleepy voice behind her.']",The King asks 'What are tarts made of?' during his cross-examination of the witness.,simple,[{'filename': 'alice-modified.txt'}],True
"Here's a question that can be fully answered from the given context:

What was Alice asked to do when she appeared on the scene?","['When she got back to the Cheshire Cat, she was surprised to find quite\na large crowd collected round it: there was a dispute going on between\nthe executioner, the King, and the Queen, who were all talking at once,\nwhile all the rest were quite silent, and looked very uncomfortable.\n\nThe moment Alice appeared, she was appealed to by all three to settle\nthe question, and they repeated their arguments to her, though, as they\nall spoke at once, she found it very hard indeed to make out exactly\nwhat they said.']","Alice was appealed to by all three (the executioner, the King, and the Queen) to settle the question.",simple,[{'filename': 'alice-modified.txt'}],True
"Here's a question that can be fully answered from the given context:

""According to Alice, what would happen if someone were to turn into a pig?""

This question is formed using the topic ""Tears"", which is the keyphrase provided in the context. The answer to this question can be found directly in the text: ""If you're going to turn into a pig, my dear...","['No, there were no tears. “If you’re going to turn into a pig, my dear,”\nsaid Alice, seriously, “I’ll have nothing more to do with you. Mind\nnow!” The poor little thing sobbed again (or grunted, it was impossible\nto say which), and they went on for some while in silence.']","According to Alice, if someone were to turn into a pig, she would have nothing more to do with them. She says, 'If you’re going to turn into a pig, my dear,’ said Alice, seriously, ‘I’ll have nothing more to do with you. Mind now!’",simple,[{'filename': 'alice-modified.txt'}],True
"Here's a question that can be fully answered from the given context:

What is Alice's reaction when the Mock Turtle starts explaining something?

Answer: Alice is only too glad to leave off, indicating that she finds the explanation confusing and wants to move on.","['“What _is_ the use of repeating all that stuff,” the Mock Turtle\ninterrupted, “if you don’t explain it as you go on? It’s by far the\nmost confusing thing _I_ ever heard!”\n\n“Yes, I think you’d better leave off,” said the Gryphon: and Alice was\nonly too glad to do so.\n\n“Shall we try another figure of the Lobster Quadrille?” the Gryphon\nwent on. “Or would you like the Mock Turtle to sing you a song?”']","Alice is only too glad to do so, indicating that she finds the explanation confusing and wants to move on.",simple,[{'filename': 'alice-modified.txt'}],True
"Here's a question that can be fully answered from the given context:

What do the soldiers say in response to the Queen's question about playing croquet?

Answer: The soldiers are silent and look at Alice, indicating that they cannot play croquet.","['“You shan’t be beheaded!” said Alice, and she put them into a large\nflower-pot that stood near. The three soldiers wandered about for a\nminute or two, looking for them, and then quietly marched off after the\nothers.\n\n“Are their heads off?” shouted the Queen.\n\n“Their heads are gone, if it please your Majesty!” the soldiers shouted\nin reply.\n\n“That’s right!” shouted the Queen. “Can you play croquet?”\n\nThe soldiers were silent, and looked at Alice, as the question was\nevidently meant for her.']","The soldiers were silent, and looked at Alice, as the question was evidently meant for her.",simple,[{'filename': 'alice-modified.txt'}],True
"Here's a question that can be fully answered from the given context:

""What was unusual about the education of the Mock Turtle and his friends?","['“We called him Tortoise because he taught us,” said the Mock Turtle\nangrily: “really you are very dull!”\n\n“You ought to be ashamed of yourself for asking such a simple\nquestion,” added the Gryphon; and then they both sat silent and looked\nat poor Alice, who felt ready to sink into the earth. At last the\nGryphon said to the Mock Turtle, “Drive on, old fellow! Don’t be all\nday about it!” and he went on in these words:\n\n“Yes, we went to school in the sea, though you mayn’t believe it—”']","The Mock Turtle and his friends went to school in the sea, which is an unusual place for education.",simple,[{'filename': 'alice-modified.txt'}],True
"Here's a question that can be fully answered from the given context:

What was unusual about the way the words came out when she spoke?","['to repeat it, but her voice sounded hoarse and strange, and the words\ndid not come the same as they used to do:—']",The words did not come the same as they used to do; her voice sounded hoarse and strange.,simple,[{'filename': 'alice-modified.txt'}],True
"Here's a question that can be fully answered from the given context:

What is the Pigeon trying to do or find in its conversation with Alice?

This question can be fully answered by referencing the context, which describes the Pigeon's attempts to please ""those serpents"" and its various failed efforts (trying roots of trees, banks, and hedges).","['“Serpent!” screamed the Pigeon.\n\n“I’m _not_ a serpent!” said Alice indignantly. “Let me alone!”\n\n“Serpent, I say again!” repeated the Pigeon, but in a more subdued\ntone, and added with a kind of sob, “I’ve tried every way, and nothing\nseems to suit them!”\n\n“I haven’t the least idea what you’re talking about,” said Alice.\n\n“I’ve tried the roots of trees, and I’ve tried banks, and I’ve tried\nhedges,” the Pigeon went on, without attending to her; “but those\nserpents! There’s no pleasing them!”']","The Pigeon is trying to find something that pleases 'those serpents', as it has tried every way but nothing seems to suit them. It's been attempting to please them by trying different things like roots of trees, banks, and hedges.",simple,[{'filename': 'alice-modified.txt'}],True
"Here's a question that can be fully answered from the given context:

What is Alice's initial impression of the baby's appearance?

This question can be answered by referring to the context, which describes the baby's ""very turn-up nose"" and ""extremely small eyes"", leading Alice to express her dislike for its appearance.","['The baby grunted again, and Alice looked very anxiously into its face\nto see what was the matter with it. There could be no doubt that it had\na _very_ turn-up nose, much more like a snout than a real nose; also\nits eyes were getting extremely small for a baby: altogether Alice did\nnot like the look of the thing at all. “But perhaps it was only\nsobbing,” she thought, and looked into its eyes again, to see if there\nwere any tears.']",Alice does not like the look of the thing at all due to the baby's 'very turn-up nose' and 'extremely small eyes',simple,[{'filename': 'alice-modified.txt'}],True
"Based on the given context:

""Hiss made her draw back in a hurry: a large pigeon had flown into her face, and was beating her violently with its wings.""

Keyphrase: ""Face""

Question: ""What unexpected event occurred to Hiss's face?","['hiss made her draw back in a hurry: a large pigeon had flown into her\nface, and was beating her violently with its wings.']",A large pigeon flew into Hiss's face and started beating her violently with its wings.,simple,[{'filename': 'alice-modified.txt'}],True
"Here's a question that can be fully answered from the given context:

What is Alice's concern about the Lory?

Answer: Alice wishes she had their Dinah to fetch the Lory back, as it has gone out of sight.","['“What a pity it wouldn’t stay!” sighed the Lory, as soon as it was\nquite out of sight; and an old Crab took the opportunity of saying to\nher daughter “Ah, my dear! Let this be a lesson to you never to lose\n_your_ temper!” “Hold your tongue, Ma!” said the young Crab, a little\nsnappishly. “You’re enough to try the patience of an oyster!”\n\n“I wish I had our Dinah here, I know I do!” said Alice aloud,\naddressing nobody in particular. “She’d soon fetch it back!”']","Alice wishes she had their Dinah to fetch the Lory back, as it has gone out of sight.",simple,[{'filename': 'alice-modified.txt'}],True
"Here's a question that can be fully answered from the given context:

What is Alice's plan for using the ""Eat Me"" cake?

This question can be fully answered by referencing the text where Alice says, ""Well, I'll eat it... so either way I'll get into the garden..."" and explaining her intention to use the cake to grow larger or smaller in order to reach the key or creep under the door.","['Soon her eye fell on a little glass box that was lying under the table:\nshe opened it, and found in it a very small cake, on which the words\n“EAT ME” were beautifully marked in currants. “Well, I’ll eat it,” said\nAlice, “and if it makes me grow larger, I can reach the key; and if it\nmakes me grow smaller, I can creep under the door; so either way I’ll\nget into the garden, and I don’t care which happens!”']","Alice's plan for using the 'Eat Me' cake is to eat it, which will either make her grow larger so she can reach the key or make her grow smaller so she can creep under the door. She intends to use the cake to get into the garden.",simple,[{'filename': 'alice-modified.txt'}],True
"Here's a question that can be fully answered from the given context:

""Who interrupts the conversation to ask about the games?""

Answer: The Gryphon.","['“That’s enough about lessons,” the Gryphon interrupted in a very\ndecided tone: “tell her something about the games now.”\n\n\n\n\nCHAPTER X.\nThe Lobster Quadrille']",The Gryphon interrupts the conversation to ask about the games.,simple,[{'filename': 'alice-modified.txt'}],True
